x,y,z,speed,time,theta,longitude,latitude,altitude
197493.846,2502756.565,101.93,2.466666699,1577503915,1.05138635,114.0576055,22.6047713,101.93
197493.846,2502756.565,101.93,2.466666699,1577503915,1.05138635,114.0576055,22.6047713,101.93
197493.8674,2502756.609,101.93,2.466666699,1577503916,1.05138635,114.0576057,22.6047717,101.93
197493.8674,2502756.609,101.93,2.466666699,1577503916,1.05138635,114.0576057,22.6047717,101.93
197493.8992,2502756.652,101.92,2.483333349,1577503916,1.051560883,114.057606,22.6047721,101.92
197493.8992,2502756.652,101.92,2.483333349,1577503916,1.051560883,114.057606,22.6047721,101.92
197493.9206,2502756.696,101.93,2.483333349,1577503916,1.051909949,114.0576062,22.6047725,101.93
197493.9206,2502756.696,101.93,2.483333349,1577503916,1.051909949,114.0576062,22.6047725,101.93
197493.9523,2502756.74,101.93,2.5,1577503916,1.052084482,114.0576065,22.6047729,101.93
197493.9523,2502756.74,101.93,2.5,1577503916,1.052084482,114.0576065,22.6047729,101.93
197493.9738,2502756.784,101.93,2.5,1577503916,1.052259015,114.0576067,22.6047733,101.93
197493.9738,2502756.784,101.93,2.5,1577503916,1.052259015,114.0576067,22.6047733,101.93
197494.0055,2502756.828,101.93,2.5,1577503916,1.052433548,114.057607,22.6047737,101.93
197494.0055,2502756.828,101.93,2.5,1577503916,1.052433548,114.057607,22.6047737,101.93
197494.027,2502756.872,101.93,2.5,1577503916,1.052608081,114.0576072,22.6047741,101.93
197494.027,2502756.872,101.93,2.5,1577503916,1.052608081,114.0576072,22.6047741,101.93
197494.0587,2502756.915,101.93,2.5,1577503916,1.052782614,114.0576075,22.6047745,101.93
197494.0587,2502756.915,101.93,2.5,1577503916,1.052782614,114.0576075,22.6047745,101.93
197494.0802,2502756.959,101.94,2.5,1577503916,1.05313168,114.0576077,22.6047749,101.94
197494.0802,2502756.959,101.94,2.5,1577503916,1.05313168,114.0576077,22.6047749,101.94
197494.1016,2502757.003,101.94,2.513888836,1577503916,1.053306212,114.0576079,22.6047753,101.94
197494.1016,2502757.003,101.94,2.513888836,1577503916,1.053306212,114.0576079,22.6047753,101.94
197494.1334,2502757.047,101.94,2.513888836,1577503916,1.053306212,114.0576082,22.6047757,101.94
197494.1334,2502757.047,101.94,2.513888836,1577503916,1.053306212,114.0576082,22.6047757,101.94
197494.1651,2502757.091,101.95,2.513888836,1577503916,1.053480745,114.0576085,22.6047761,101.95
197494.1651,2502757.091,101.95,2.513888836,1577503916,1.053480745,114.0576085,22.6047761,101.95
197494.1865,2502757.134,101.95,2.513888836,1577503916,1.053829811,114.0576087,22.6047765,101.95
197494.1865,2502757.134,101.95,2.513888836,1577503916,1.053829811,114.0576087,22.6047765,101.95
197494.2183,2502757.178,101.95,2.513888836,1577503916,1.054004344,114.057609,22.6047769,101.95
197494.2183,2502757.178,101.95,2.513888836,1577503916,1.054004344,114.057609,22.6047769,101.95
197494.2397,2502757.222,101.95,2.530555487,1577503916,1.054178877,114.0576092,22.6047773,101.95
197494.2397,2502757.222,101.95,2.530555487,1577503916,1.054178877,114.0576092,22.6047773,101.95
197494.2715,2502757.266,101.95,2.530555487,1577503916,1.05435341,114.0576095,22.6047777,101.95
197494.2715,2502757.266,101.95,2.530555487,1577503916,1.05435341,114.0576095,22.6047777,101.95
197494.2929,2502757.31,101.95,2.530555487,1577503916,1.054527943,114.0576097,22.6047781,101.95
197494.2929,2502757.31,101.95,2.530555487,1577503916,1.054527943,114.0576097,22.6047781,101.95
197494.3247,2502757.353,101.96,2.530555487,1577503916,1.054702476,114.05761,22.6047785,101.96
197494.3247,2502757.353,101.96,2.530555487,1577503916,1.054702476,114.05761,22.6047785,101.96
197494.3461,2502757.397,101.96,2.530555487,1577503916,1.054877009,114.0576102,22.6047789,101.96
197494.3461,2502757.397,101.96,2.530555487,1577503916,1.054877009,114.0576102,22.6047789,101.96
197494.3778,2502757.441,101.96,2.530555487,1577503916,1.055051542,114.0576105,22.6047793,101.96
197494.3778,2502757.441,101.96,2.530555487,1577503916,1.055051542,114.0576105,22.6047793,101.96
197494.3995,2502757.496,101.96,2.544444561,1577503916,1.055051542,114.0576107,22.6047798,101.96
197494.3995,2502757.496,101.96,2.544444561,1577503916,1.055051542,114.0576107,22.6047798,101.96
197494.4313,2502757.54,101.96,2.544444561,1577503916,1.055226075,114.057611,22.6047802,101.96
197494.4313,2502757.54,101.96,2.544444561,1577503916,1.055226075,114.057611,22.6047802,101.96
197494.4527,2502757.584,101.96,2.544444561,1577503916,1.055400608,114.0576112,22.6047806,101.96
197494.4527,2502757.584,101.96,2.544444561,1577503916,1.055400608,114.0576112,22.6047806,101.96
197494.4844,2502757.627,101.97,2.544444561,1577503916,1.055749673,114.0576115,22.604781,101.97
197494.4844,2502757.627,101.97,2.544444561,1577503916,1.055749673,114.0576115,22.604781,101.97
197494.5059,2502757.671,101.97,2.544444561,1577503916,1.055924206,114.0576117,22.6047814,101.97
197494.5059,2502757.671,101.97,2.544444561,1577503916,1.055924206,114.0576117,22.6047814,101.97
197494.5376,2502757.715,101.97,2.544444561,1577503916,1.056098739,114.057612,22.6047818,101.97
197494.5376,2502757.715,101.97,2.544444561,1577503916,1.056098739,114.057612,22.6047818,101.97
197494.5591,2502757.759,101.97,2.544444561,1577503916,1.056098739,114.0576122,22.6047822,101.97
197494.5591,2502757.759,101.97,2.544444561,1577503916,1.056098739,114.0576122,22.6047822,101.97
197494.5908,2502757.803,101.97,2.561111212,1577503916,1.056273272,114.0576125,22.6047826,101.97
197494.5908,2502757.803,101.97,2.561111212,1577503916,1.056273272,114.0576125,22.6047826,101.97
197494.6123,2502757.847,101.97,2.561111212,1577503916,1.056273272,114.0576127,22.604783,101.97
197494.6123,2502757.847,101.97,2.561111212,1577503916,1.056273272,114.0576127,22.604783,101.97
197494.6123,2502757.847,101.97,2.561111212,1577503916,1.056273272,114.057613,22.6047834,101.98
197494.644,2502757.89,101.98,2.561111212,1577503916,1.056447805,114.057613,22.6047834,101.98
197494.6657,2502757.945,101.98,2.561111212,1577503916,1.056273272,114.0576132,22.6047839,101.98
197494.6867,2502757.967,101.98,2.561111212,1577503916,1.056447805,114.0576134,22.6047841,101.98
197494.6867,2502757.967,101.98,2.561111212,1577503916,1.056447805,114.0576134,22.6047841,101.98
197494.7081,2502758.011,101.98,2.577777863,1577503916,1.056622338,114.0576136,22.6047845,101.98
197494.7081,2502758.011,101.98,2.577777863,1577503916,1.056622338,114.0576136,22.6047845,101.98
197494.7399,2502758.055,101.98,2.577777863,1577503916,1.056622338,114.0576139,22.6047849,101.98
197494.7399,2502758.055,101.98,2.577777863,1577503916,1.056622338,114.0576139,22.6047849,101.98
197494.7613,2502758.098,101.98,2.577777863,1577503916,1.056796871,114.0576141,22.6047853,101.98
197494.7613,2502758.098,101.98,2.577777863,1577503916,1.056796871,114.0576141,22.6047853,101.98
197494.7931,2502758.142,101.99,2.577777863,1577503916,1.056971404,114.0576144,22.6047857,101.99
197494.7931,2502758.142,101.99,2.577777863,1577503916,1.056971404,114.0576144,22.6047857,101.99
197494.8145,2502758.186,101.99,2.577777863,1577503916,1.057145937,114.0576146,22.6047861,101.99
197494.8145,2502758.186,101.99,2.577777863,1577503916,1.057145937,114.0576146,22.6047861,101.99
197494.8463,2502758.23,101.99,2.577777863,1577503916,1.05732047,114.0576149,22.6047865,101.99
197494.8463,2502758.23,101.99,2.577777863,1577503916,1.05732047,114.0576149,22.6047865,101.99
197494.8677,2502758.274,101.99,2.577777863,1577503916,1.057669536,114.0576151,22.6047869,101.99
197494.8786,2502758.307,101.99,2.577777863,1577503916,1.057669536,114.0576152,22.6047872,101.99
197494.8997,2502758.329,101.99,2.577777863,1577503916,1.057844068,114.0576154,22.6047874,101.99
197494.8997,2502758.329,101.99,2.577777863,1577503916,1.057844068,114.0576154,22.6047874,101.99
197494.9211,2502758.372,102,2.591666699,1577503916,1.057844068,114.0576156,22.6047878,102
197494.9211,2502758.372,102,2.591666699,1577503916,1.057844068,114.0576156,22.6047878,102
197494.9528,2502758.416,102,2.591666699,1577503916,1.057844068,114.0576159,22.6047882,102
197494.9528,2502758.416,102,2.591666699,1577503916,1.057844068,114.0576159,22.6047882,102
197494.9743,2502758.46,102.01,2.591666699,1577503916,1.058018601,114.0576161,22.6047886,102.01
197494.9743,2502758.46,102.01,2.591666699,1577503916,1.058018601,114.0576161,22.6047886,102.01
197495.006,2502758.504,102.01,2.591666699,1577503916,1.058018601,114.0576164,22.604789,102.01
197495.0168,2502758.526,102.01,2.591666699,1577503916,1.058193134,114.0576165,22.6047892,102.01
197495.038,2502758.559,102.02,2.591666699,1577503916,1.058193134,114.0576167,22.6047895,102.02
197495.038,2502758.559,102.02,2.591666699,1577503916,1.058193134,114.0576167,22.6047895,102.02
197495.0594,2502758.602,102.02,2.591666699,1577503916,1.058193134,114.0576169,22.6047899,102.02
197495.0594,2502758.602,102.02,2.591666699,1577503916,1.058193134,114.0576169,22.6047899,102.02
197495.0912,2502758.646,102.02,2.605555534,1577503916,1.058367667,114.0576172,22.6047903,102.02
197495.0912,2502758.646,102.02,2.605555534,1577503916,1.058367667,114.0576172,22.6047903,102.02
197495.0912,2502758.646,102.02,2.605555534,1577503916,1.058367667,114.0576174,22.6047907,102.03
197495.1126,2502758.69,102.03,2.605555534,1577503916,1.0585422,114.0576174,22.6047907,102.03
197495.1444,2502758.734,102.03,2.605555534,1577503916,1.0585422,114.0576177,22.6047911,102.03
197495.1551,2502758.756,102.03,2.605555534,1577503916,1.058716733,114.0576178,22.6047913,102.03
197495.1658,2502758.778,102.04,2.605555534,1577503916,1.058716733,114.0576179,22.6047915,102.04
197495.1658,2502758.778,102.04,2.605555534,1577503916,1.058716733,114.0576179,22.6047915,102.04
197495.1978,2502758.833,102.04,2.625,1577503916,1.058891266,114.0576182,22.604792,102.04
197495.1978,2502758.833,102.04,2.625,1577503917,1.058891266,114.0576182,22.604792,102.04
197495.2192,2502758.876,102.04,2.625,1577503917,1.059065799,114.0576184,22.6047924,102.04
197495.2192,2502758.876,102.04,2.625,1577503917,1.059065799,114.0576184,22.6047924,102.04
197495.251,2502758.92,102.05,2.625,1577503917,1.059240332,114.0576187,22.6047928,102.05
197495.251,2502758.92,102.05,2.625,1577503917,1.059240332,114.0576187,22.6047928,102.05
197495.2724,2502758.964,102.05,2.625,1577503917,1.059589398,114.0576189,22.6047932,102.05
197495.2934,2502758.986,102.05,2.625,1577503917,1.059763931,114.0576191,22.6047934,102.05
197495.2934,2502758.986,102.05,2.625,1577503917,1.059763931,114.0576191,22.6047934,102.05
197495.3044,2502759.019,102.05,2.625,1577503917,1.059763931,114.0576192,22.6047937,102.05
197495.3258,2502759.063,102.05,2.638888836,1577503917,1.059938464,114.0576194,22.6047941,102.05
197495.3258,2502759.063,102.05,2.638888836,1577503917,1.059938464,114.0576194,22.6047941,102.05
197495.3576,2502759.106,102.05,2.638888836,1577503917,1.060112996,114.0576197,22.6047945,102.05
197495.3576,2502759.106,102.05,2.638888836,1577503917,1.060112996,114.0576197,22.6047945,102.05
197495.3893,2502759.15,102.05,2.638888836,1577503917,1.060287529,114.05762,22.6047949,102.05
197495.3893,2502759.15,102.05,2.638888836,1577503917,1.060287529,114.05762,22.6047949,102.05
197495.4107,2502759.194,102.06,2.638888836,1577503917,1.060462062,114.0576202,22.6047953,102.06
197495.4107,2502759.194,102.06,2.638888836,1577503917,1.060462062,114.0576202,22.6047953,102.06
197495.4427,2502759.249,102.06,2.638888836,1577503917,1.060636595,114.0576205,22.6047958,102.06
197495.4427,2502759.249,102.06,2.638888836,1577503917,1.060636595,114.0576205,22.6047958,102.06
197495.4642,2502759.293,102.06,2.638888836,1577503917,1.060811128,114.0576207,22.6047962,102.06
197495.4642,2502759.293,102.06,2.638888836,1577503917,1.060811128,114.0576207,22.6047962,102.06
197495.4959,2502759.336,102.06,2.652777672,1577503917,1.060636595,114.057621,22.6047966,102.06
197495.4959,2502759.336,102.06,2.652777672,1577503917,1.060636595,114.057621,22.6047966,102.06
197495.5276,2502759.38,102.07,2.652777672,1577503917,1.060811128,114.0576213,22.604797,102.07
197495.5276,2502759.38,102.07,2.652777672,1577503917,1.060811128,114.0576213,22.604797,102.07
197495.5493,2502759.435,102.07,2.652777672,1577503917,1.060985661,114.0576215,22.6047975,102.07
197495.5493,2502759.435,102.07,2.652777672,1577503917,1.060985661,114.0576215,22.6047975,102.07
197495.581,2502759.479,102.07,2.652777672,1577503917,1.061160194,114.0576218,22.6047979,102.07
197495.581,2502759.479,102.07,2.652777672,1577503917,1.061160194,114.0576218,22.6047979,102.07
197495.6025,2502759.523,102.08,2.652777672,1577503917,1.061334727,114.057622,22.6047983,102.08
197495.6025,2502759.523,102.08,2.652777672,1577503917,1.061334727,114.057622,22.6047983,102.08
197495.6342,2502759.567,102.08,2.652777672,1577503917,1.061683793,114.0576223,22.6047987,102.08
197495.6342,2502759.567,102.08,2.652777672,1577503917,1.061683793,114.0576223,22.6047987,102.08
197495.6559,2502759.622,102.08,2.652777672,1577503917,1.061858326,114.0576225,22.6047992,102.08
197495.6559,2502759.622,102.08,2.652777672,1577503917,1.061858326,114.0576225,22.6047992,102.08
197495.6876,2502759.665,102.08,2.652777672,1577503917,1.062032859,114.0576228,22.6047996,102.08
197495.6876,2502759.665,102.08,2.652777672,1577503917,1.062032859,114.0576228,22.6047996,102.08
197495.7091,2502759.709,102.08,2.652777672,1577503917,1.062207391,114.057623,22.6048,102.08
197495.7091,2502759.709,102.08,2.652777672,1577503917,1.062207391,114.057623,22.6048,102.08
197495.7408,2502759.753,102.09,2.652777672,1577503917,1.062381924,114.0576233,22.6048004,102.09
197495.7408,2502759.753,102.09,2.652777672,1577503917,1.062381924,114.0576233,22.6048004,102.09
197495.7728,2502759.808,102.09,2.669444561,1577503917,1.062556457,114.0576236,22.6048009,102.09
197495.7728,2502759.808,102.09,2.669444561,1577503917,1.062556457,114.0576236,22.6048009,102.09
197495.7728,2502759.808,102.09,2.669444561,1577503917,1.062556457,114.0576238,22.6048013,102.09
197495.7942,2502759.852,102.09,2.669444561,1577503917,1.06273099,114.0576238,22.6048013,102.09
197495.826,2502759.895,102.09,2.669444561,1577503917,1.062905523,114.0576241,22.6048017,102.09
197495.826,2502759.895,102.09,2.669444561,1577503917,1.062905523,114.0576241,22.6048017,102.09
197495.826,2502759.895,102.09,2.669444561,1577503917,1.062905523,114.0576241,22.6048017,102.09
197495.8476,2502759.95,102.09,2.669444561,1577503917,1.063080056,114.0576243,22.6048022,102.09
197495.8794,2502759.994,102.09,2.669444561,1577503917,1.063254589,114.0576246,22.6048026,102.09
197495.8794,2502759.994,102.09,2.669444561,1577503917,1.063254589,114.0576246,22.6048026,102.09
197495.9111,2502760.038,102.09,2.669444561,1577503917,1.063603655,114.0576249,22.604803,102.09
197495.9111,2502760.038,102.09,2.669444561,1577503917,1.063603655,114.0576249,22.604803,102.09
197495.9328,2502760.093,102.1,2.669444561,1577503917,1.063778188,114.0576251,22.6048035,102.1
197495.9328,2502760.093,102.1,2.669444561,1577503917,1.063778188,114.0576251,22.6048035,102.1
197495.9645,2502760.136,102.1,2.669444561,1577503917,1.063952721,114.0576254,22.6048039,102.1
197495.9645,2502760.136,102.1,2.669444561,1577503917,1.063952721,114.0576254,22.6048039,102.1
197495.986,2502760.18,102.1,2.669444561,1577503917,1.064127254,114.0576256,22.6048043,102.1
197495.986,2502760.18,102.1,2.669444561,1577503917,1.064127254,114.0576256,22.6048043,102.1
